Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.070000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 971.523889   Box : 9.904164
Volume : 706.991822   Box : 8.908504
Volume : 504.516575   Box : 7.960832
Volume : 420.501083   Box : 7.491849
Volume : 362.631859   Box : 7.131080
Volume : 330.467516   Box : 6.913685
Volume : 313.268308   Box : 6.791601
Volume : 299.331489   Box : 6.689353
Volume : 283.085597   Box : 6.566076
Volume : 265.855805   Box : 6.430065
Volume : 266.935620   Box : 6.438759
Volume : 254.442132   Box : 6.336698
Volume : 248.891532   Box : 6.290281
Volume : 244.444503   Box : 6.252592
Volume : 247.854697   Box : 6.281534
Volume : 261.709266   Box : 6.396460
Volume : 263.833730   Box : 6.413722
Volume : 254.366268   Box : 6.336068
Volume : 262.307763   Box : 6.401332
Volume : 240.558953   Box : 6.219286
Volume : 246.357616   Box : 6.268861
Volume : 255.073853   Box : 6.341938
Volume : 260.719396   Box : 6.388385
Volume : 261.021364   Box : 6.390851
Volume : 262.059090   Box : 6.399309
Volume : 262.226020   Box : 6.400667
Volume : 250.726237   Box : 6.305699
Volume : 258.343437   Box : 6.368920
Volume : 250.999788   Box : 6.307992
Volume : 261.254799   Box : 6.392755
Volume : 251.717682   Box : 6.314000
Volume : 253.282017   Box : 6.327053
Volume : 237.830561   Box : 6.195683
Volume : 244.307054   Box : 6.251420
Volume : 252.426309   Box : 6.319919
Volume : 261.467338   Box : 6.394489
Volume : 259.124244   Box : 6.375330
Volume : 255.444990   Box : 6.345012
Volume : 251.070054   Box : 6.308580
Volume : 238.341248   Box : 6.200115
Volume : 248.417795   Box : 6.286287
Volume : 247.124866   Box : 6.275362
Volume : 255.071073   Box : 6.341915
Volume : 271.137757   Box : 6.472370
Volume : 253.711387   Box : 6.330626
Volume : 251.925747   Box : 6.315739
Volume : 246.274439   Box : 6.268156
Volume : 251.165227   Box : 6.309377
Volume : 262.525197   Box : 6.403101
Volume : 268.170323   Box : 6.448671
Volume : 265.670008   Box : 6.428567
Volume : 266.140587   Box : 6.432360
Volume : 268.258206   Box : 6.449376
Volume : 252.803104   Box : 6.323062
Volume : 250.639519   Box : 6.304972
Volume : 249.622905   Box : 6.296436
Volume : 248.798810   Box : 6.289500
Volume : 251.071398   Box : 6.308592
Volume : 243.999619   Box : 6.248797
Volume : 251.541174   Box : 6.312524
Volume : 247.964285   Box : 6.282460
Volume : 251.638544   Box : 6.313338
Volume : 262.425920   Box : 6.402293
Volume : 280.244876   Box : 6.544039
Volume : 282.218408   Box : 6.559365
Volume : 261.737803   Box : 6.396693
Volume : 269.166678   Box : 6.456648
Volume : 267.988309   Box : 6.447212
Volume : 272.994483   Box : 6.487110
Volume : 270.725760   Box : 6.469090
Volume : 263.049831   Box : 6.407363
Volume : 252.747043   Box : 6.322595
Volume : 254.303112   Box : 6.335544
Volume : 250.534000   Box : 6.304087
Volume : 259.136923   Box : 6.375434
Volume : 250.307604   Box : 6.302188
Volume : 247.468206   Box : 6.278267
Volume : 249.935004   Box : 6.299059
Volume : 252.664513   Box : 6.321907
Volume : 251.055186   Box : 6.308456
Volume : 241.140523   Box : 6.224294
Volume : 245.292778   Box : 6.259816
Volume : 247.726074   Box : 6.280447
Volume : 245.652517   Box : 6.262875
Volume : 239.710547   Box : 6.211966
Volume : 250.614996   Box : 6.304767
Volume : 258.324523   Box : 6.368765
Volume : 252.295806   Box : 6.318830
Volume : 256.559503   Box : 6.354227
Volume : 253.239205   Box : 6.326696
Volume : 254.909526   Box : 6.340576
Volume : 244.617023   Box : 6.254063
Volume : 246.867774   Box : 6.273186
Volume : 240.552441   Box : 6.219230
Volume : 241.846207   Box : 6.230359
Volume : 243.298141   Box : 6.242803
Volume : 248.964041   Box : 6.290892
Volume : 246.474963   Box : 6.269857
Volume : 238.579290   Box : 6.202178
Volume : 232.195186   Box : 6.146356
Volume : 241.450731   Box : 6.226961
Volume : 242.217134   Box : 6.233543
Volume : 239.443458   Box : 6.209658
Volume : 242.685134   Box : 6.237555
Volume : 255.446650   Box : 6.345026
Volume : 245.054547   Box : 6.257789
Volume : 238.826145   Box : 6.204317
Volume : 238.869508   Box : 6.204692
Volume : 240.062937   Box : 6.215008
Volume : 228.468630   Box : 6.113297
Volume : 227.435261   Box : 6.104067
Volume : 231.507540   Box : 6.140283
Volume : 246.234066   Box : 6.267813
Volume : 232.669123   Box : 6.150535
Volume : 249.075323   Box : 6.291829
Volume : 247.503244   Box : 6.278564
Volume : 242.354530   Box : 6.234721
Volume : 238.024494   Box : 6.197367
Volume : 233.008384   Box : 6.153523
Volume : 234.396348   Box : 6.165717
Volume : 248.204604   Box : 6.284489
Volume : 258.139727   Box : 6.367246
Volume : 255.089919   Box : 6.342071
Volume : 251.701670   Box : 6.313866
Volume : 245.629143   Box : 6.262676
Volume : 237.643395   Box : 6.194058
Volume : 247.924340   Box : 6.282122
Volume : 244.067746   Box : 6.249378
Volume : 250.313856   Box : 6.302240
Volume : 248.670409   Box : 6.288418
Volume : 248.532098   Box : 6.287251
Volume : 248.825344   Box : 6.289723
