Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.020000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 971.623790   Box : 9.904504
Volume : 810.469361   Box : 9.323498
Volume : 645.198797   Box : 8.641010
Volume : 522.537860   Box : 8.054512
Volume : 456.324071   Box : 7.698825
Volume : 395.492168   Box : 7.340280
Volume : 357.680438   Box : 7.098475
Volume : 327.451623   Box : 6.892589
Volume : 325.125093   Box : 6.876226
Volume : 311.114256   Box : 6.775999
Volume : 296.135151   Box : 6.665458
Volume : 279.871095   Box : 6.541129
Volume : 277.807003   Box : 6.525008
Volume : 261.301714   Box : 6.393138
Volume : 254.038950   Box : 6.333349
Volume : 240.421179   Box : 6.218098
Volume : 240.560785   Box : 6.219301
Volume : 236.438348   Box : 6.183570
Volume : 237.997403   Box : 6.197132
Volume : 242.734336   Box : 6.237977
Volume : 240.987840   Box : 6.222980
Volume : 250.175244   Box : 6.301077
Volume : 245.696937   Box : 6.263252
Volume : 250.073563   Box : 6.300223
Volume : 249.792550   Box : 6.297862
Volume : 249.272553   Box : 6.293489
Volume : 249.485894   Box : 6.295284
Volume : 248.282342   Box : 6.285145
Volume : 256.260849   Box : 6.351760
Volume : 250.936747   Box : 6.307464
Volume : 245.521421   Box : 6.261761
Volume : 254.049101   Box : 6.333434
Volume : 244.120365   Box : 6.249827
Volume : 241.608514   Box : 6.228318
Volume : 241.359131   Box : 6.226174
Volume : 233.892674   Box : 6.161298
Volume : 236.833365   Box : 6.187012
Volume : 238.584124   Box : 6.202220
Volume : 239.742920   Box : 6.212245
Volume : 243.969777   Box : 6.248542
Volume : 238.128227   Box : 6.198267
Volume : 242.819890   Box : 6.238709
Volume : 234.387916   Box : 6.165643
Volume : 235.914818   Box : 6.179003
Volume : 238.895988   Box : 6.204921
Volume : 240.777079   Box : 6.221165
Volume : 237.495921   Box : 6.192776
Volume : 243.080284   Box : 6.240939
Volume : 251.845453   Box : 6.315068
Volume : 252.400841   Box : 6.319707
Volume : 252.789458   Box : 6.322949
Volume : 254.139489   Box : 6.334185
Volume : 260.608417   Box : 6.387479
Volume : 276.487786   Box : 6.514663
Volume : 279.595085   Box : 6.538978
Volume : 275.744365   Box : 6.508819
Volume : 272.888184   Box : 6.486268
Volume : 259.972453   Box : 6.382279
Volume : 261.807906   Box : 6.397264
Volume : 255.966889   Box : 6.349330
Volume : 262.830112   Box : 6.405579
Volume : 258.671311   Box : 6.371613
Volume : 258.383126   Box : 6.369246
Volume : 254.125625   Box : 6.334069
Volume : 255.154635   Box : 6.342607
Volume : 248.675146   Box : 6.288457
Volume : 243.879633   Box : 6.247772
Volume : 245.826106   Box : 6.264350
Volume : 248.064215   Box : 6.283304
Volume : 243.678923   Box : 6.246058
Volume : 254.828155   Box : 6.339901
Volume : 257.382954   Box : 6.361018
Volume : 244.737446   Box : 6.255089
Volume : 241.263415   Box : 6.225351
Volume : 241.214695   Box : 6.224932
Volume : 248.072869   Box : 6.283377
Volume : 247.567914   Box : 6.279110
Volume : 237.435461   Box : 6.192251
Volume : 238.689656   Box : 6.203135
Volume : 243.882350   Box : 6.247795
Volume : 248.100031   Box : 6.283606
Volume : 257.874938   Box : 6.365068
Volume : 254.797639   Box : 6.339648
Volume : 264.255870   Box : 6.417140
Volume : 264.107506   Box : 6.415939
Volume : 256.593625   Box : 6.354508
Volume : 248.277238   Box : 6.285102
Volume : 244.144110   Box : 6.250030
Volume : 260.659621   Box : 6.387897
Volume : 258.753418   Box : 6.372288
Volume : 251.597717   Box : 6.312997
Volume : 250.681813   Box : 6.305327
Volume : 270.817386   Box : 6.469820
Volume : 258.637646   Box : 6.371337
Volume : 245.845156   Box : 6.264512
Volume : 240.296282   Box : 6.217021
Volume : 236.263101   Box : 6.182042
Volume : 244.690563   Box : 6.254689
Volume : 247.487312   Box : 6.278429
Volume : 246.963715   Box : 6.273998
Volume : 248.871876   Box : 6.290115
Volume : 247.240240   Box : 6.276339
Volume : 244.299407   Box : 6.251355
Volume : 246.179226   Box : 6.267348
Volume : 247.706770   Box : 6.280284
Volume : 248.196611   Box : 6.284421
Volume : 236.926346   Box : 6.187822
Volume : 231.405097   Box : 6.139377
Volume : 237.241216   Box : 6.190562
Volume : 237.980657   Box : 6.196987
Volume : 237.756399   Box : 6.195039
Volume : 251.971025   Box : 6.316118
Volume : 251.333402   Box : 6.310785
Volume : 242.491595   Box : 6.235896
Volume : 237.081146   Box : 6.189169
Volume : 244.331153   Box : 6.251625
Volume : 242.916723   Box : 6.239539
Volume : 253.381852   Box : 6.327884
Volume : 260.828881   Box : 6.389280
Volume : 262.565704   Box : 6.403430
Volume : 256.627509   Box : 6.354788
Volume : 258.049571   Box : 6.366504
Volume : 272.834656   Box : 6.485844
Volume : 272.578993   Box : 6.483818
Volume : 281.959471   Box : 6.557358
Volume : 273.033735   Box : 6.487421
Volume : 272.212717   Box : 6.480912
Volume : 264.516031   Box : 6.419246
Volume : 267.658547   Box : 6.444566
Volume : 264.461783   Box : 6.418807
Volume : 253.179669   Box : 6.326200
Volume : 244.433360   Box : 6.252497
