Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.050000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 985.021441   Box : 9.949820
Volume : 773.644881   Box : 9.180096
Volume : 633.942321   Box : 8.590463
Volume : 465.318707   Box : 7.749080
Volume : 413.081753   Box : 7.447526
Volume : 381.890258   Box : 7.255147
Volume : 354.087814   Box : 7.074629
Volume : 328.724560   Box : 6.901509
Volume : 307.285743   Box : 6.748089
Volume : 289.967179   Box : 6.618856
Volume : 280.855360   Box : 6.548788
Volume : 262.681437   Box : 6.404371
Volume : 255.790320   Box : 6.347870
Volume : 258.027338   Box : 6.366322
Volume : 249.107447   Box : 6.292099
Volume : 263.124666   Box : 6.407971
Volume : 257.854855   Box : 6.364903
Volume : 262.669084   Box : 6.404270
Volume : 262.932625   Box : 6.406411
Volume : 266.833939   Box : 6.437941
Volume : 261.575866   Box : 6.395373
Volume : 265.256247   Box : 6.425228
Volume : 265.728701   Box : 6.429040
Volume : 252.411303   Box : 6.319794
Volume : 253.152215   Box : 6.325972
Volume : 258.059622   Box : 6.366587
Volume : 257.014029   Box : 6.357977
Volume : 257.802958   Box : 6.364476
Volume : 261.913274   Box : 6.398122
Volume : 257.121593   Box : 6.358864
Volume : 255.407593   Box : 6.344703
Volume : 253.561276   Box : 6.329377
Volume : 241.132666   Box : 6.224226
Volume : 241.787275   Box : 6.229853
Volume : 249.140578   Box : 6.292378
Volume : 250.555737   Box : 6.304270
Volume : 255.465253   Box : 6.345180
Volume : 267.881894   Box : 6.446358
Volume : 259.490860   Box : 6.378335
Volume : 255.974899   Box : 6.349397
Volume : 254.686221   Box : 6.338724
Volume : 257.902102   Box : 6.365291
Volume : 253.066545   Box : 6.325258
Volume : 240.975783   Box : 6.222876
Volume : 237.565794   Box : 6.193383
Volume : 255.557388   Box : 6.345943
Volume : 235.109245   Box : 6.171962
Volume : 236.290711   Box : 6.182283
Volume : 245.005278   Box : 6.257370
Volume : 251.032187   Box : 6.308263
Volume : 259.802904   Box : 6.380891
Volume : 259.867943   Box : 6.381424
Volume : 252.664544   Box : 6.321907
Volume : 251.417152   Box : 6.311486
Volume : 248.309039   Box : 6.285370
Volume : 254.376669   Box : 6.336155
Volume : 246.669845   Box : 6.271509
Volume : 263.256567   Box : 6.409041
Volume : 261.466750   Box : 6.394484
Volume : 263.838672   Box : 6.413762
Volume : 265.288348   Box : 6.425487
Volume : 258.409192   Box : 6.369461
Volume : 261.032551   Box : 6.390942
Volume : 255.256219   Box : 6.343449
Volume : 245.662620   Box : 6.262961
Volume : 247.843823   Box : 6.281442
Volume : 251.734858   Box : 6.314144
Volume : 266.450854   Box : 6.434859
Volume : 270.139040   Box : 6.464413
Volume : 281.970922   Box : 6.557447
Volume : 267.393104   Box : 6.442435
Volume : 266.174180   Box : 6.432631
Volume : 265.920439   Box : 6.430586
Volume : 266.216429   Box : 6.432971
Volume : 286.859943   Box : 6.595129
Volume : 276.927434   Box : 6.518115
Volume : 278.048964   Box : 6.526902
Volume : 262.144270   Box : 6.400002
Volume : 267.168531   Box : 6.440631
Volume : 263.411485   Box : 6.410298
Volume : 265.762546   Box : 6.429313
Volume : 254.017388   Box : 6.333170
Volume : 256.194284   Box : 6.351210
Volume : 254.090145   Box : 6.333775
Volume : 256.372668   Box : 6.352684
Volume : 261.945498   Box : 6.398384
Volume : 263.791011   Box : 6.413375
Volume : 270.776159   Box : 6.469491
Volume : 265.741515   Box : 6.429144
Volume : 274.129847   Box : 6.496091
Volume : 261.276763   Box : 6.392935
Volume : 243.862767   Box : 6.247628
Volume : 235.006831   Box : 6.171066
Volume : 237.906112   Box : 6.196339
Volume : 245.612004   Box : 6.262531
Volume : 237.226015   Box : 6.190429
Volume : 232.894889   Box : 6.152524
Volume : 238.951616   Box : 6.205403
Volume : 247.324544   Box : 6.277052
Volume : 239.726499   Box : 6.212103
Volume : 244.429975   Box : 6.252468
Volume : 241.938272   Box : 6.231150
Volume : 236.775322   Box : 6.186507
Volume : 231.334739   Box : 6.138755
Volume : 233.213798   Box : 6.155331
Volume : 243.075179   Box : 6.240895
Volume : 225.650951   Box : 6.088062
Volume : 235.310154   Box : 6.173719
Volume : 250.615634   Box : 6.304772
Volume : 258.204012   Box : 6.367774
Volume : 250.132815   Box : 6.300721
Volume : 255.791016   Box : 6.347876
Volume : 256.857148   Box : 6.356683
Volume : 271.423603   Box : 6.474644
Volume : 261.945952   Box : 6.398388
Volume : 260.004100   Box : 6.382538
Volume : 250.330394   Box : 6.302379
Volume : 240.158667   Box : 6.215834
Volume : 237.379166   Box : 6.191761
Volume : 249.262009   Box : 6.293400
Volume : 253.316141   Box : 6.327337
Volume : 255.717580   Box : 6.347268
Volume : 247.620241   Box : 6.279553
Volume : 250.889998   Box : 6.307072
Volume : 251.931720   Box : 6.315789
Volume : 242.328443   Box : 6.234498
Volume : 260.663814   Box : 6.387931
Volume : 257.741034   Box : 6.363966
Volume : 255.765766   Box : 6.347667
Volume : 253.288043   Box : 6.327103
Volume : 240.236736   Box : 6.216508
Volume : 237.002212   Box : 6.188482
