Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.090000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 961.124775   Box : 9.868699
Volume : 641.018385   Box : 8.622307
Volume : 506.124830   Box : 7.969282
Volume : 440.986163   Box : 7.611583
Volume : 366.380485   Box : 7.155568
Volume : 367.215541   Box : 7.161000
Volume : 319.904982   Box : 6.839227
Volume : 293.476037   Box : 6.645447
Volume : 299.605435   Box : 6.691393
Volume : 296.372329   Box : 6.667237
Volume : 282.701450   Box : 6.563105
Volume : 268.494187   Box : 6.451266
Volume : 254.412801   Box : 6.336454
Volume : 268.346731   Box : 6.450085
Volume : 261.848233   Box : 6.397592
Volume : 267.502303   Box : 6.443312
Volume : 271.814040   Box : 6.477747
Volume : 278.408649   Box : 6.529715
Volume : 272.171169   Box : 6.480582
Volume : 257.967369   Box : 6.365828
Volume : 254.890223   Box : 6.340416
Volume : 248.992477   Box : 6.291131
Volume : 240.797111   Box : 6.221337
Volume : 251.359650   Box : 6.311005
Volume : 254.968081   Box : 6.341061
Volume : 263.609366   Box : 6.411903
Volume : 258.783900   Box : 6.372538
Volume : 257.361264   Box : 6.360839
Volume : 266.750754   Box : 6.437272
Volume : 254.914103   Box : 6.340614
Volume : 255.299795   Box : 6.343810
Volume : 257.002489   Box : 6.357882
Volume : 256.621777   Box : 6.354741
Volume : 254.271127   Box : 6.335278
Volume : 256.590414   Box : 6.354482
Volume : 255.257605   Box : 6.343460
Volume : 238.772255   Box : 6.203850
Volume : 237.647333   Box : 6.194092
Volume : 234.497402   Box : 6.166603
Volume : 236.555935   Box : 6.184595
Volume : 236.409105   Box : 6.183315
Volume : 238.615905   Box : 6.202496
Volume : 248.669027   Box : 6.288406
Volume : 259.958154   Box : 6.382162
Volume : 256.277779   Box : 6.351900
Volume : 244.220603   Box : 6.250682
Volume : 235.720287   Box : 6.177304
Volume : 238.708255   Box : 6.203296
Volume : 243.236649   Box : 6.242277
Volume : 253.761101   Box : 6.331039
Volume : 263.769512   Box : 6.413201
Volume : 269.870157   Box : 6.462268
Volume : 270.787902   Box : 6.469585
Volume : 271.267598   Box : 6.473403
Volume : 275.182394   Box : 6.504395
Volume : 258.103548   Box : 6.366948
Volume : 259.672634   Box : 6.379824
Volume : 250.637672   Box : 6.304957
Volume : 243.017328   Box : 6.240400
Volume : 246.134053   Box : 6.266964
Volume : 248.245336   Box : 6.284832
Volume : 254.858323   Box : 6.340151
Volume : 257.905982   Box : 6.365323
Volume : 249.879877   Box : 6.298596
Volume : 245.204298   Box : 6.259064
Volume : 236.372118   Box : 6.182993
Volume : 234.578010   Box : 6.167310
Volume : 243.679792   Box : 6.246065
Volume : 254.792148   Box : 6.339602
Volume : 249.822943   Box : 6.298118
Volume : 251.044979   Box : 6.308370
Volume : 254.831592   Box : 6.339929
Volume : 254.163414   Box : 6.334383
Volume : 253.049283   Box : 6.325114
Volume : 261.273415   Box : 6.392907
Volume : 261.122574   Box : 6.391677
Volume : 263.098278   Box : 6.407757
Volume : 264.311591   Box : 6.417592
Volume : 267.894455   Box : 6.446459
Volume : 285.287851   Box : 6.583059
Volume : 281.844593   Box : 6.556467
Volume : 277.495551   Box : 6.522569
Volume : 261.708939   Box : 6.396458
Volume : 258.051067   Box : 6.366517
Volume : 258.383594   Box : 6.369250
Volume : 258.975140   Box : 6.374107
Volume : 266.709890   Box : 6.436944
Volume : 268.944442   Box : 6.454870
Volume : 263.055979   Box : 6.407413
Volume : 266.376536   Box : 6.434261
Volume : 251.415837   Box : 6.311475
Volume : 248.143203   Box : 6.283970
Volume : 252.817381   Box : 6.323181
Volume : 249.044265   Box : 6.291567
Volume : 244.488837   Box : 6.252970
Volume : 240.195362   Box : 6.216151
Volume : 244.469989   Box : 6.252809
Volume : 254.611234   Box : 6.338101
Volume : 251.891927   Box : 6.315457
Volume : 249.259289   Box : 6.293378
Volume : 251.168095   Box : 6.309401
Volume : 237.710071   Box : 6.194637
Volume : 239.728128   Box : 6.212118
Volume : 240.436019   Box : 6.218226
Volume : 235.209554   Box : 6.172840
Volume : 236.831460   Box : 6.186995
Volume : 227.711839   Box : 6.106540
Volume : 236.585218   Box : 6.184850
Volume : 242.463783   Box : 6.235658
Volume : 255.975597   Box : 6.349402
Volume : 266.780734   Box : 6.437514
Volume : 271.981945   Box : 6.479080
Volume : 280.942383   Box : 6.549464
Volume : 287.075054   Box : 6.596777
Volume : 283.620423   Box : 6.570209
Volume : 277.782349   Box : 6.524815
Volume : 286.487593   Box : 6.592274
Volume : 272.021280   Box : 6.479393
Volume : 263.095354   Box : 6.407733
Volume : 263.924893   Box : 6.414460
Volume : 262.076706   Box : 6.399452
Volume : 249.452366   Box : 6.295002
Volume : 248.471056   Box : 6.286737
Volume : 258.941032   Box : 6.373827
Volume : 255.515880   Box : 6.345599
Volume : 251.698196   Box : 6.313837
Volume : 250.852370   Box : 6.306757
Volume : 246.229429   Box : 6.267774
Volume : 246.867227   Box : 6.273181
Volume : 248.280132   Box : 6.285126
Volume : 251.604962   Box : 6.313057
Volume : 249.805578   Box : 6.297972
