Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.080000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 258.191251   Box : 6.367669
Volume : 247.239195   Box : 6.276330
Volume : 248.123073   Box : 6.283800
Volume : 252.413377   Box : 6.319811
Volume : 249.631554   Box : 6.296509
Volume : 245.447059   Box : 6.261128
Volume : 245.168659   Box : 6.258760
Volume : 250.009461   Box : 6.299685
Volume : 251.225915   Box : 6.309886
Volume : 250.203433   Box : 6.301314
Volume : 236.619650   Box : 6.185150
Volume : 246.273629   Box : 6.268149
Volume : 246.165449   Box : 6.267231
Volume : 255.539225   Box : 6.345792
Volume : 257.318230   Box : 6.360484
Volume : 259.003575   Box : 6.374340
Volume : 256.253587   Box : 6.351700
Volume : 261.615954   Box : 6.395700
Volume : 265.519862   Box : 6.427356
Volume : 275.472711   Box : 6.506681
Volume : 274.694187   Box : 6.500546
Volume : 276.036359   Box : 6.511116
Volume : 274.088609   Box : 6.495765
Volume : 270.135953   Box : 6.464389
Volume : 270.058714   Box : 6.463773
Volume : 263.620004   Box : 6.411989
Volume : 266.852737   Box : 6.438093
Volume : 269.610645   Box : 6.460196
Volume : 267.247645   Box : 6.441267
Volume : 277.395815   Box : 6.521787
Volume : 281.806710   Box : 6.556174
Volume : 259.460568   Box : 6.378087
Volume : 257.675450   Box : 6.363426
Volume : 243.757007   Box : 6.246725
Volume : 247.159931   Box : 6.275659
Volume : 257.836362   Box : 6.364751
Volume : 251.161226   Box : 6.309344


Fraction Succes (Displ.) : 0.381547
Fraction Succes (Volume) : 0.165883
Average Volume           : 254.791790
Average Density          : 0.392477
