Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.100000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 981.824782   Box : 9.939045
Volume : 711.524753   Box : 8.927503
Volume : 554.759901   Box : 8.216781
Volume : 452.839114   Box : 7.679176
Volume : 367.833476   Box : 7.165015
Volume : 324.078396   Box : 6.868839
Volume : 323.216519   Box : 6.862745
Volume : 310.003843   Box : 6.767927
Volume : 298.924871   Box : 6.686323
Volume : 304.474920   Box : 6.727450
Volume : 308.089363   Box : 6.753966
Volume : 272.052331   Box : 6.479639
Volume : 268.206386   Box : 6.448960
Volume : 250.808439   Box : 6.306388
Volume : 262.664194   Box : 6.404231
Volume : 257.256806   Box : 6.359978
Volume : 253.499969   Box : 6.328867
Volume : 246.655182   Box : 6.271384
Volume : 250.631258   Box : 6.304903
Volume : 249.826640   Box : 6.298149
Volume : 234.360309   Box : 6.165401
Volume : 237.084050   Box : 6.189194
Volume : 235.541202   Box : 6.175739
Volume : 230.264771   Box : 6.129276
Volume : 243.984409   Box : 6.248667
Volume : 227.878090   Box : 6.108026
Volume : 240.997398   Box : 6.223062
Volume : 240.660668   Box : 6.220162
Volume : 244.737120   Box : 6.255086
Volume : 251.553036   Box : 6.312623
Volume : 247.141526   Box : 6.275503
Volume : 259.410837   Box : 6.377680
Volume : 251.816647   Box : 6.314827
Volume : 244.649792   Box : 6.254342
Volume : 241.784698   Box : 6.229831
Volume : 241.057180   Box : 6.223576
Volume : 238.191584   Box : 6.198817
Volume : 229.261550   Box : 6.120362
Volume : 229.084659   Box : 6.118787
Volume : 231.574325   Box : 6.140873
Volume : 236.915784   Box : 6.187730
Volume : 242.325962   Box : 6.234476
Volume : 238.289723   Box : 6.199668
Volume : 235.602434   Box : 6.176275
Volume : 249.711491   Box : 6.297181
Volume : 248.790282   Box : 6.289428
Volume : 244.656576   Box : 6.254400
Volume : 241.667103   Box : 6.228821
Volume : 236.237805   Box : 6.181822
Volume : 231.843145   Box : 6.143249
Volume : 241.609828   Box : 6.228329
Volume : 243.590406   Box : 6.245301
Volume : 248.764804   Box : 6.289213
Volume : 256.852503   Box : 6.356645
Volume : 256.336787   Box : 6.352387
Volume : 263.476982   Box : 6.410830
Volume : 252.577478   Box : 6.321181
Volume : 250.154994   Box : 6.300907
Volume : 249.179755   Box : 6.292708
Volume : 244.172880   Box : 6.250275
Volume : 253.479972   Box : 6.328701
Volume : 246.127227   Box : 6.266907
Volume : 260.722070   Box : 6.388407
Volume : 260.723887   Box : 6.388422
Volume : 259.322886   Box : 6.376959
Volume : 250.066929   Box : 6.300167
Volume : 244.999821   Box : 6.257323
Volume : 250.178057   Box : 6.301100
Volume : 249.612503   Box : 6.296349
Volume : 237.665650   Box : 6.194251
Volume : 233.548652   Box : 6.158276
Volume : 234.755666   Box : 6.168866
Volume : 242.437174   Box : 6.235430
Volume : 243.244021   Box : 6.242340
Volume : 244.596686   Box : 6.253889
Volume : 240.484004   Box : 6.218640
Volume : 244.262847   Box : 6.251043
Volume : 241.840943   Box : 6.230314
Volume : 238.375853   Box : 6.200415
Volume : 227.515279   Box : 6.104782
Volume : 233.224721   Box : 6.155427
Volume : 238.755605   Box : 6.203706
Volume : 240.505710   Box : 6.218827
Volume : 251.276696   Box : 6.310311
Volume : 246.152937   Box : 6.267125
Volume : 241.215921   Box : 6.224942
Volume : 249.183899   Box : 6.292743
Volume : 255.964010   Box : 6.349307
Volume : 259.854033   Box : 6.381310
Volume : 262.165189   Box : 6.400172
Volume : 250.021091   Box : 6.299782
Volume : 241.149773   Box : 6.224373
Volume : 253.503497   Box : 6.328896
Volume : 250.560199   Box : 6.304307
Volume : 261.649570   Box : 6.395974
Volume : 255.494061   Box : 6.345418
Volume : 260.756766   Box : 6.388691
Volume : 241.752728   Box : 6.229556
Volume : 252.077529   Box : 6.317007
Volume : 242.589915   Box : 6.236739
Volume : 233.800236   Box : 6.160486
Volume : 231.686324   Box : 6.141863
Volume : 236.899484   Box : 6.187588
Volume : 248.283443   Box : 6.285154
Volume : 243.701172   Box : 6.246248
Volume : 252.159901   Box : 6.317695
Volume : 251.539815   Box : 6.312512
Volume : 250.070947   Box : 6.300201
Volume : 249.620400   Box : 6.296415
Volume : 252.680225   Box : 6.322038
Volume : 251.315269   Box : 6.310633
Volume : 251.531641   Box : 6.312444
Volume : 257.353544   Box : 6.360775
Volume : 259.134093   Box : 6.375411
Volume : 254.224893   Box : 6.334894
Volume : 249.117507   Box : 6.292184
Volume : 253.073972   Box : 6.325320
Volume : 248.021566   Box : 6.282943
Volume : 254.574726   Box : 6.337799
Volume : 264.086205   Box : 6.415767
Volume : 253.615393   Box : 6.329827
Volume : 256.218799   Box : 6.351413
Volume : 255.172457   Box : 6.342755
Volume : 254.510010   Box : 6.337261
Volume : 259.526979   Box : 6.378631
Volume : 257.678007   Box : 6.363447
Volume : 255.994164   Box : 6.349556
Volume : 264.707594   Box : 6.420795
Volume : 265.264837   Box : 6.425297
Volume : 272.774726   Box : 6.485369
Volume : 259.617951   Box : 6.379377
Volume : 255.186570   Box : 6.342872
