Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.030000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 991.457175   Box : 9.971442
Volume : 793.119398   Box : 9.256487
Volume : 610.140298   Box : 8.481576
Volume : 482.899513   Box : 7.845469
Volume : 428.112839   Box : 7.536784
Volume : 355.624147   Box : 7.084846
Volume : 359.035388   Box : 7.107427
Volume : 327.412452   Box : 6.892314
Volume : 313.636003   Box : 6.794257
Volume : 276.325729   Box : 6.513390
Volume : 261.251990   Box : 6.392733
Volume : 255.192418   Box : 6.342920
Volume : 255.703248   Box : 6.347150
Volume : 253.653850   Box : 6.330147
Volume : 266.251426   Box : 6.433253
Volume : 262.038347   Box : 6.399140
Volume : 258.972282   Box : 6.374084
Volume : 256.605266   Box : 6.354604
Volume : 254.841587   Box : 6.340012
Volume : 247.096128   Box : 6.275119
Volume : 255.968409   Box : 6.349343
Volume : 250.707897   Box : 6.305546
Volume : 261.401651   Box : 6.393953
Volume : 267.553947   Box : 6.443727
Volume : 271.722234   Box : 6.477017
Volume : 266.048786   Box : 6.431621
Volume : 254.839024   Box : 6.339991
Volume : 259.445550   Box : 6.377964
Volume : 263.338342   Box : 6.409705
Volume : 258.046013   Box : 6.366475
Volume : 259.140858   Box : 6.375466
Volume : 259.113069   Box : 6.375239
Volume : 255.169287   Box : 6.342729
Volume : 250.842631   Box : 6.306675
Volume : 261.510659   Box : 6.394842
Volume : 263.573763   Box : 6.411614
Volume : 263.230904   Box : 6.408833
Volume : 264.587629   Box : 6.419825
Volume : 254.565348   Box : 6.337721
Volume : 253.517279   Box : 6.329011
Volume : 247.365844   Box : 6.277402
Volume : 257.948413   Box : 6.365672
Volume : 254.125497   Box : 6.334068
Volume : 254.417028   Box : 6.336490
Volume : 238.928825   Box : 6.205206
Volume : 235.054811   Box : 6.171486
Volume : 237.385947   Box : 6.191820
Volume : 244.561946   Box : 6.253593
Volume : 241.324385   Box : 6.225875
Volume : 235.008758   Box : 6.171082
Volume : 263.404791   Box : 6.410244
Volume : 260.734188   Box : 6.388506
Volume : 244.078781   Box : 6.249472
Volume : 242.081089   Box : 6.232376
Volume : 246.444179   Box : 6.269595
Volume : 239.204041   Box : 6.207587
Volume : 236.908839   Box : 6.187669
Volume : 240.426714   Box : 6.218146
Volume : 250.238557   Box : 6.301608
Volume : 241.059114   Box : 6.223593
Volume : 239.610601   Box : 6.211102
Volume : 239.028622   Box : 6.206070
Volume : 257.187384   Box : 6.359406
Volume : 259.242113   Box : 6.376297
Volume : 272.237112   Box : 6.481106
Volume : 266.966294   Box : 6.439006
Volume : 263.378591   Box : 6.410031
Volume : 270.251325   Box : 6.465309
Volume : 281.180756   Box : 6.551316
Volume : 281.407281   Box : 6.553075
Volume : 269.524334   Box : 6.459506
Volume : 258.720757   Box : 6.372019
Volume : 252.463755   Box : 6.320232
Volume : 242.012910   Box : 6.231790
Volume : 241.180981   Box : 6.224642
Volume : 246.838316   Box : 6.272936
Volume : 252.840899   Box : 6.323377
Volume : 257.347090   Box : 6.360722
Volume : 257.949592   Box : 6.365682
Volume : 256.242175   Box : 6.351606
Volume : 264.253329   Box : 6.417120
Volume : 249.782032   Box : 6.297774
Volume : 246.896096   Box : 6.273425
Volume : 245.210365   Box : 6.259115
Volume : 246.718000   Box : 6.271917
Volume : 242.643349   Box : 6.237197
Volume : 236.134951   Box : 6.180924
Volume : 232.495813   Box : 6.149008
Volume : 238.757950   Box : 6.203726
Volume : 237.911802   Box : 6.196389
Volume : 247.429297   Box : 6.277938
Volume : 245.405813   Box : 6.260778
Volume : 252.106631   Box : 6.317250
Volume : 254.062674   Box : 6.333546
Volume : 251.860162   Box : 6.315191
Volume : 254.091441   Box : 6.333785
Volume : 264.772460   Box : 6.421319
Volume : 259.426192   Box : 6.377806
Volume : 258.003843   Box : 6.366128
Volume : 253.132217   Box : 6.325805
Volume : 264.778371   Box : 6.421367
Volume : 270.090452   Box : 6.464026
Volume : 255.098482   Box : 6.342142
Volume : 250.152687   Box : 6.300887
Volume : 252.249989   Box : 6.318448
Volume : 258.509298   Box : 6.370283
Volume : 249.317018   Box : 6.293863
Volume : 246.502495   Box : 6.270090
Volume : 241.540783   Box : 6.227735
Volume : 245.975980   Box : 6.265623
Volume : 250.310691   Box : 6.302214
Volume : 256.693503   Box : 6.355333
Volume : 258.087228   Box : 6.366814
Volume : 252.304055   Box : 6.318899
Volume : 253.803180   Box : 6.331389
Volume : 247.861819   Box : 6.281594
Volume : 258.542735   Box : 6.370558
Volume : 267.778121   Box : 6.445526
Volume : 271.576609   Box : 6.475860
Volume : 266.099752   Box : 6.432031
Volume : 253.366035   Box : 6.327752
Volume : 253.340730   Box : 6.327542
Volume : 247.097570   Box : 6.275131
Volume : 243.418764   Box : 6.243834
Volume : 254.667633   Box : 6.338569
Volume : 257.137329   Box : 6.358993
Volume : 265.455241   Box : 6.426834
Volume : 264.370803   Box : 6.418071
Volume : 257.936859   Box : 6.365577
Volume : 265.772584   Box : 6.429394
Volume : 269.957001   Box : 6.462961
Volume : 266.376962   Box : 6.434264
