#  Frame  Lambda[0]   Committor-value
   1580   1.372332   0.59
   1581   1.369784   0.58
   1582   1.367231   0.58
   1583   1.364668   0.55
   1584   1.362088   0.55
   1585   1.359487   0.56
   1586   1.356860   0.59
   1587   1.354201   0.47
   1588   1.351504   0.43
   1589   1.348765   0.47
