Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 1.100000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 423.862672   Box : 7.511760
Volume : 426.234463   Box : 7.525745
Volume : 425.776959   Box : 7.523052
Volume : 417.379785   Box : 7.473267
Volume : 417.639421   Box : 7.474816
Volume : 409.954336   Box : 7.428683
Volume : 407.397460   Box : 7.413207
Volume : 403.384959   Box : 7.388788
Volume : 397.305613   Box : 7.351482
Volume : 396.724029   Box : 7.347893
Volume : 392.789549   Box : 7.323522
Volume : 391.445687   Box : 7.315160
Volume : 389.058159   Box : 7.300257
Volume : 384.265150   Box : 7.270155
Volume : 378.922955   Box : 7.236307
Volume : 375.381508   Box : 7.213692
Volume : 375.055330   Box : 7.211603
Volume : 373.782643   Box : 7.203436
Volume : 373.247821   Box : 7.199999
Volume : 368.318933   Box : 7.168165
Volume : 369.288787   Box : 7.174452
Volume : 366.421308   Box : 7.155834
Volume : 365.070114   Box : 7.147027
Volume : 369.196246   Box : 7.173852
Volume : 366.163726   Box : 7.154157
Volume : 360.333998   Box : 7.115986
Volume : 358.286548   Box : 7.102482
Volume : 360.401991   Box : 7.116433
Volume : 358.489194   Box : 7.103821
Volume : 362.763625   Box : 7.131944
Volume : 361.950765   Box : 7.126613
Volume : 358.864706   Box : 7.106301
Volume : 358.385415   Box : 7.103136
Volume : 357.195198   Box : 7.095264
Volume : 355.363637   Box : 7.083116
Volume : 353.404054   Box : 7.070072
Volume : 353.993425   Box : 7.074000


Fraction Succes (Displ.) : 0.725365
Fraction Succes (Volume) : 0.889110
Average Volume           : 597.993778
Average Density          : 0.167226
