Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 1.080000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 1000.425379   Box : 10.001418
Volume : 999.882748   Box : 9.999609
Volume : 989.519098   Box : 9.964941
Volume : 987.872845   Box : 9.959412
Volume : 983.669270   Box : 9.945265
Volume : 978.935379   Box : 9.929286
Volume : 979.768085   Box : 9.932100
Volume : 974.417749   Box : 9.913988
Volume : 967.932121   Box : 9.891944
Volume : 962.615159   Box : 9.873798
Volume : 956.168074   Box : 9.851705
Volume : 951.600842   Box : 9.835994
Volume : 947.397143   Box : 9.821490
Volume : 943.103708   Box : 9.806631
Volume : 946.180425   Box : 9.817283
Volume : 943.653085   Box : 9.808534
Volume : 935.891258   Box : 9.781568
Volume : 933.776582   Box : 9.774195
Volume : 923.880832   Box : 9.739545
Volume : 910.126681   Box : 9.690971
Volume : 900.441165   Box : 9.656471
Volume : 893.578440   Box : 9.631876
Volume : 890.723533   Box : 9.621608
Volume : 888.566480   Box : 9.613835
Volume : 883.469909   Box : 9.595418
Volume : 885.056427   Box : 9.601159
Volume : 876.273219   Box : 9.569293
Volume : 873.932109   Box : 9.560763
Volume : 873.428367   Box : 9.558926
Volume : 868.820055   Box : 9.542085
Volume : 868.028656   Box : 9.539187
Volume : 862.385250   Box : 9.518469
Volume : 855.117336   Box : 9.491654
Volume : 849.929515   Box : 9.472421
Volume : 845.844265   Box : 9.457220
Volume : 842.696257   Box : 9.445473
Volume : 842.751377   Box : 9.445678
Volume : 838.618072   Box : 9.430211
Volume : 834.539042   Box : 9.414897
Volume : 828.045426   Box : 9.390414
Volume : 829.176581   Box : 9.394688
Volume : 826.522809   Box : 9.384654
Volume : 822.280675   Box : 9.368571
Volume : 819.097650   Box : 9.356467
Volume : 816.557894   Box : 9.346787
Volume : 809.820776   Box : 9.321010
Volume : 810.111393   Box : 9.322125
Volume : 806.224752   Box : 9.307193
Volume : 806.708430   Box : 9.309054
Volume : 803.011169   Box : 9.294810
Volume : 797.452029   Box : 9.273312
Volume : 793.313873   Box : 9.257243
Volume : 793.440320   Box : 9.257735
Volume : 789.561647   Box : 9.242625
Volume : 785.146189   Box : 9.225364
Volume : 780.825989   Box : 9.208412
Volume : 778.833019   Box : 9.200571
Volume : 773.957019   Box : 9.181330
Volume : 770.271238   Box : 9.166733
Volume : 763.551685   Box : 9.139999
Volume : 761.148229   Box : 9.130399
Volume : 761.026512   Box : 9.129912
Volume : 759.935491   Box : 9.125547
Volume : 756.345118   Box : 9.111153
Volume : 750.283524   Box : 9.086748
Volume : 748.348054   Box : 9.078927
Volume : 742.055856   Box : 9.053410
Volume : 740.158279   Box : 9.045687
Volume : 735.549831   Box : 9.026874
Volume : 734.772616   Box : 9.023693
Volume : 731.217763   Box : 9.009117
Volume : 728.608155   Box : 8.998387
Volume : 726.366109   Box : 8.989148
Volume : 723.794738   Box : 8.978528
Volume : 718.396928   Box : 8.956153
Volume : 720.472415   Box : 8.964769
Volume : 719.499531   Box : 8.960732
Volume : 721.086655   Box : 8.967316
Volume : 720.078207   Box : 8.963134
Volume : 720.037948   Box : 8.962967
Volume : 715.815368   Box : 8.945412
Volume : 709.784123   Box : 8.920217
Volume : 711.761687   Box : 8.928494
Volume : 712.179404   Box : 8.930240
Volume : 710.762159   Box : 8.924312
Volume : 710.825929   Box : 8.924579
Volume : 710.500826   Box : 8.923219
Volume : 706.220787   Box : 8.905265
Volume : 700.417531   Box : 8.880805
Volume : 697.901177   Box : 8.870157
Volume : 694.317057   Box : 8.854947
Volume : 688.328150   Box : 8.829413
Volume : 681.200473   Box : 8.798831
Volume : 682.611962   Box : 8.804904
Volume : 679.604223   Box : 8.791953
Volume : 672.372943   Box : 8.760658
Volume : 666.451066   Box : 8.734863
Volume : 663.943180   Box : 8.723892
Volume : 663.037755   Box : 8.719925
Volume : 661.261114   Box : 8.712130
Volume : 660.357753   Box : 8.708161
Volume : 658.433087   Box : 8.699692
Volume : 657.331380   Box : 8.694837
Volume : 656.974276   Box : 8.693262
Volume : 656.948764   Box : 8.693150
Volume : 651.567954   Box : 8.669351
Volume : 652.271548   Box : 8.672470
Volume : 645.157827   Box : 8.640827
Volume : 642.856571   Box : 8.630541
Volume : 637.450967   Box : 8.606282
Volume : 635.936076   Box : 8.599459
Volume : 632.861676   Box : 8.585579
Volume : 630.576974   Box : 8.575235
Volume : 628.345226   Box : 8.565107
Volume : 626.838817   Box : 8.558256
Volume : 627.979585   Box : 8.563445
Volume : 629.300664   Box : 8.569446
Volume : 623.312616   Box : 8.542178
Volume : 621.293766   Box : 8.532946
Volume : 620.427810   Box : 8.528980
Volume : 618.009352   Box : 8.517883
Volume : 614.871966   Box : 8.503445
Volume : 615.024950   Box : 8.504150
Volume : 611.146973   Box : 8.486238
Volume : 607.175862   Box : 8.467818
Volume : 600.420729   Box : 8.436298
Volume : 596.720949   Box : 8.418934
Volume : 589.327164   Box : 8.384017
Volume : 587.976284   Box : 8.377606
Volume : 582.457602   Box : 8.351313
Volume : 579.354147   Box : 8.336454
Volume : 573.428980   Box : 8.307937
