Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 1.030000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 1000.405686   Box : 10.001352
Volume : 999.888176   Box : 9.999627
Volume : 990.004325   Box : 9.966569
Volume : 988.885997   Box : 9.962815
Volume : 984.877032   Box : 9.949334
Volume : 981.135008   Box : 9.936717
Volume : 981.929164   Box : 9.939397
Volume : 976.826528   Box : 9.922151
Volume : 970.013050   Box : 9.899027
Volume : 965.384670   Box : 9.883258
Volume : 959.609999   Box : 9.863512
Volume : 955.254213   Box : 9.848566
Volume : 951.039593   Box : 9.834060
Volume : 947.430631   Box : 9.821605
Volume : 950.712470   Box : 9.832933
Volume : 948.565718   Box : 9.825526
Volume : 941.671998   Box : 9.801666
Volume : 940.490115   Box : 9.797563
Volume : 931.052502   Box : 9.764681
Volume : 916.805514   Box : 9.714618
Volume : 907.568402   Box : 9.681882
Volume : 902.050839   Box : 9.662222
Volume : 899.328104   Box : 9.652491
Volume : 896.885990   Box : 9.643746
Volume : 892.216931   Box : 9.626982
Volume : 893.729999   Box : 9.632421
Volume : 885.353421   Box : 9.602233
Volume : 883.242569   Box : 9.594595
Volume : 881.174938   Box : 9.587103
Volume : 877.749673   Box : 9.574664
Volume : 877.455658   Box : 9.573595
Volume : 872.367828   Box : 9.555055
Volume : 865.436392   Box : 9.529681
Volume : 860.495699   Box : 9.511512
Volume : 856.828437   Box : 9.497981
Volume : 853.826170   Box : 9.486874
Volume : 853.813048   Box : 9.486826
Volume : 849.242824   Box : 9.469869
Volume : 845.352637   Box : 9.455387
Volume : 839.159652   Box : 9.432240
Volume : 839.750047   Box : 9.434452
Volume : 838.120558   Box : 9.428346
Volume : 834.016164   Box : 9.412930
Volume : 830.980502   Box : 9.401496
Volume : 828.970466   Box : 9.393909
Volume : 823.463097   Box : 9.373060
Volume : 824.132206   Box : 9.375598
Volume : 820.425502   Box : 9.361520
Volume : 821.632066   Box : 9.366107
Volume : 818.105974   Box : 9.352690
Volume : 814.002840   Box : 9.337028
Volume : 809.416722   Box : 9.319459
Volume : 809.537315   Box : 9.319922
Volume : 805.814941   Box : 9.305616
Volume : 801.603902   Box : 9.289377
Volume : 797.744621   Box : 9.274446
Volume : 796.818998   Box : 9.270857
Volume : 792.168738   Box : 9.252787
Volume : 787.450223   Box : 9.234379
Volume : 780.771559   Box : 9.208198
Volume : 778.659457   Box : 9.199888
Volume : 778.100331   Box : 9.197685
Volume : 777.059821   Box : 9.193583
Volume : 773.950915   Box : 9.181306
Volume : 768.576921   Box : 9.160006
Volume : 766.098733   Box : 9.150151
Volume : 761.495325   Box : 9.131786
Volume : 760.194835   Box : 9.126585
Volume : 755.582215   Box : 9.108089
Volume : 754.879232   Box : 9.105263
Volume : 751.488956   Box : 9.091611
Volume : 749.000162   Box : 9.081564
Volume : 746.861915   Box : 9.072914
Volume : 744.409588   Box : 9.062972
Volume : 739.261677   Box : 9.042033
Volume : 740.841941   Box : 9.048471
Volume : 740.524499   Box : 9.047178
Volume : 741.451708   Box : 9.050953
Volume : 740.489947   Box : 9.047037
Volume : 740.694582   Box : 9.047871
Volume : 737.264681   Box : 9.033883
Volume : 731.348219   Box : 9.009653
Volume : 734.026727   Box : 9.020639
Volume : 734.425105   Box : 9.022270
Volume : 733.591627   Box : 9.018856
Volume : 733.341002   Box : 9.017829
Volume : 733.030949   Box : 9.016558
Volume : 730.701891   Box : 9.006998
Volume : 726.125410   Box : 8.988155
Volume : 723.353100   Box : 8.976701
Volume : 720.264231   Box : 8.963906
Volume : 714.552589   Box : 8.940148
Volume : 708.790493   Box : 8.916053
Volume : 710.136636   Box : 8.921694
Volume : 707.122006   Box : 8.909051
Volume : 701.913819   Box : 8.887125
Volume : 695.672442   Box : 8.860705
Volume : 693.476975   Box : 8.851374
Volume : 692.613468   Box : 8.847698
Volume : 690.756105   Box : 8.839782
Volume : 690.380248   Box : 8.838179
Volume : 688.757700   Box : 8.831250
Volume : 689.577435   Box : 8.834752
Volume : 689.397793   Box : 8.833984
Volume : 689.382954   Box : 8.833921
Volume : 684.251255   Box : 8.811947
Volume : 685.248592   Box : 8.816226
Volume : 678.439518   Box : 8.786928
Volume : 676.168092   Box : 8.777110
Volume : 671.330328   Box : 8.756128
Volume : 669.885572   Box : 8.749842
Volume : 668.088156   Box : 8.742009
Volume : 665.957583   Box : 8.732706
Volume : 663.829156   Box : 8.723393
Volume : 662.737289   Box : 8.718608
Volume : 664.332171   Box : 8.725596
Volume : 664.302268   Box : 8.725465
Volume : 659.427959   Box : 8.704072
Volume : 657.522310   Box : 8.695679
Volume : 654.495900   Box : 8.682317
Volume : 653.237484   Box : 8.676749
Volume : 650.186029   Box : 8.663217
Volume : 650.758110   Box : 8.665757
Volume : 647.919345   Box : 8.653138
Volume : 644.132082   Box : 8.636245
Volume : 636.976123   Box : 8.604145
Volume : 632.715045   Box : 8.584916
Volume : 626.409581   Box : 8.556303
Volume : 625.121243   Box : 8.550433
Volume : 618.613430   Box : 8.520658
Volume : 614.967045   Box : 8.503883
Volume : 609.316192   Box : 8.477756
