Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 1.050000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 1000.645090   Box : 10.002150
Volume : 997.685883   Box : 9.992280
Volume : 995.593222   Box : 9.985289
Volume : 990.694173   Box : 9.968884
Volume : 985.563556   Box : 9.951645
Volume : 982.500253   Box : 9.941324
Volume : 978.718749   Box : 9.928553
Volume : 975.431607   Box : 9.917425
Volume : 975.138145   Box : 9.916431
Volume : 970.507787   Box : 9.900710
Volume : 962.100670   Box : 9.872038
Volume : 958.140951   Box : 9.858476
Volume : 953.566547   Box : 9.842762
Volume : 952.135906   Box : 9.837838
Volume : 946.834739   Box : 9.819546
Volume : 942.077062   Box : 9.803071
Volume : 935.630342   Box : 9.780659
Volume : 933.490919   Box : 9.773198
Volume : 932.718147   Box : 9.770500
Volume : 927.841220   Box : 9.753442
Volume : 930.264549   Box : 9.761926
Volume : 932.439460   Box : 9.769527
Volume : 927.654794   Box : 9.752788
Volume : 926.332534   Box : 9.748152
Volume : 920.173345   Box : 9.726499
Volume : 913.000373   Box : 9.701160
Volume : 911.470794   Box : 9.695739
Volume : 906.022941   Box : 9.676383
Volume : 899.275426   Box : 9.652302
Volume : 892.355930   Box : 9.627482
Volume : 889.718277   Box : 9.617987
Volume : 884.191303   Box : 9.598029
Volume : 882.580263   Box : 9.592197
Volume : 875.956652   Box : 9.568140
Volume : 873.086739   Box : 9.557680
Volume : 868.892782   Box : 9.542351
Volume : 859.672489   Box : 9.508478
Volume : 857.565629   Box : 9.500704
Volume : 852.856202   Box : 9.483281
Volume : 850.252224   Box : 9.473619
Volume : 850.699801   Box : 9.475281
Volume : 851.576638   Box : 9.478536
Volume : 849.921909   Box : 9.472392
Volume : 847.319550   Box : 9.462715
Volume : 841.865750   Box : 9.442369
Volume : 837.327419   Box : 9.425371
Volume : 834.897650   Box : 9.416245
Volume : 828.801441   Box : 9.393271
Volume : 826.934016   Box : 9.386210
Volume : 819.814807   Box : 9.359197
Volume : 821.764376   Box : 9.366610
Volume : 814.514782   Box : 9.338985
Volume : 805.960228   Box : 9.306175
Volume : 802.850843   Box : 9.294192
Volume : 798.390098   Box : 9.276946
Volume : 793.707730   Box : 9.258775
Volume : 790.325221   Box : 9.245604
Volume : 785.804302   Box : 9.227941
Volume : 781.554672   Box : 9.211276
Volume : 781.683752   Box : 9.211783
Volume : 781.082078   Box : 9.209419
Volume : 778.479908   Box : 9.199180
Volume : 772.688981   Box : 9.176313
Volume : 768.957011   Box : 9.161516
Volume : 768.715223   Box : 9.160556
Volume : 767.355973   Box : 9.155153
Volume : 764.100486   Box : 9.142188
Volume : 763.376744   Box : 9.139301
Volume : 758.304307   Box : 9.119013
Volume : 755.309548   Box : 9.106993
Volume : 754.840714   Box : 9.105108
Volume : 751.725316   Box : 9.092565
Volume : 751.185621   Box : 9.090388
Volume : 742.184939   Box : 9.053935
Volume : 740.948965   Box : 9.048906
Volume : 735.285962   Box : 9.025794
Volume : 729.479900   Box : 9.001974
Volume : 725.076956   Box : 8.983827
Volume : 725.340259   Box : 8.984914
Volume : 724.563846   Box : 8.981707
Volume : 721.337902   Box : 8.968358
Volume : 718.196515   Box : 8.955320
Volume : 710.548640   Box : 8.923419
Volume : 702.720886   Box : 8.890529
Volume : 701.511822   Box : 8.885428
Volume : 700.022603   Box : 8.879136
Volume : 694.270094   Box : 8.854747
Volume : 691.520329   Box : 8.843041
Volume : 686.068722   Box : 8.819742
Volume : 679.979016   Box : 8.793569
Volume : 668.903036   Box : 8.745562
Volume : 665.636309   Box : 8.731302
Volume : 661.372082   Box : 8.712617
Volume : 656.544422   Box : 8.691366
Volume : 652.130249   Box : 8.671844
Volume : 653.049585   Box : 8.675917
Volume : 651.985151   Box : 8.671201
Volume : 653.164476   Box : 8.676426
Volume : 652.394904   Box : 8.673017
Volume : 652.853161   Box : 8.675047
Volume : 649.691087   Box : 8.661019
Volume : 644.813306   Box : 8.639289
Volume : 641.625944   Box : 8.625030
Volume : 637.475814   Box : 8.606394
Volume : 630.803775   Box : 8.576263
Volume : 627.069827   Box : 8.559308
Volume : 621.727927   Box : 8.534933
Volume : 616.517427   Box : 8.511023
Volume : 615.068499   Box : 8.504351
Volume : 613.811705   Box : 8.498554
Volume : 612.465367   Box : 8.492336
Volume : 610.768412   Box : 8.484486
Volume : 608.918710   Box : 8.475912
Volume : 603.648190   Box : 8.451387
Volume : 602.061762   Box : 8.443976
Volume : 600.525412   Box : 8.436788
Volume : 592.551346   Box : 8.399279
Volume : 592.827815   Box : 8.400585
Volume : 587.156063   Box : 8.373709
Volume : 580.486166   Box : 8.341880
Volume : 577.229511   Box : 8.326251
Volume : 571.192127   Box : 8.297121
Volume : 565.493256   Box : 8.269434
Volume : 562.050255   Box : 8.252617
Volume : 561.267800   Box : 8.248786
Volume : 558.491089   Box : 8.235161
Volume : 561.833716   Box : 8.251558
Volume : 557.517702   Box : 8.230374
Volume : 558.537940   Box : 8.235391
Volume : 564.243370   Box : 8.263337
Volume : 567.004743   Box : 8.276796
Volume : 559.085060   Box : 8.238079
