Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 1.010000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 999.868574   Box : 9.999562
Volume : 993.213068   Box : 9.977326
Volume : 985.679802   Box : 9.952036
Volume : 982.530883   Box : 9.941427
Volume : 976.733885   Box : 9.921837
Volume : 974.105643   Box : 9.912930
Volume : 969.804044   Box : 9.898316
Volume : 966.401253   Box : 9.886726
Volume : 964.600351   Box : 9.880581
Volume : 961.087840   Box : 9.868573
Volume : 956.052246   Box : 9.851307
Volume : 952.759507   Box : 9.839985
Volume : 946.460067   Box : 9.818250
Volume : 939.646990   Box : 9.794635
Volume : 940.052962   Box : 9.796045
Volume : 942.589046   Box : 9.804846
Volume : 937.755498   Box : 9.788058
Volume : 930.949590   Box : 9.764321
Volume : 930.498777   Box : 9.762745
Volume : 934.740698   Box : 9.777558
Volume : 930.341862   Box : 9.762196
Volume : 929.979127   Box : 9.760927
Volume : 928.953815   Box : 9.757339
Volume : 922.544017   Box : 9.734845
Volume : 915.944591   Box : 9.711576
Volume : 912.690459   Box : 9.700062
Volume : 915.274688   Box : 9.709208
Volume : 908.335582   Box : 9.684609
Volume : 905.293724   Box : 9.673787
Volume : 903.923015   Box : 9.668902
Volume : 905.621340   Box : 9.674953
Volume : 900.140933   Box : 9.655398
Volume : 900.528849   Box : 9.656785
Volume : 897.243864   Box : 9.645028
Volume : 894.406295   Box : 9.634850
Volume : 894.796035   Box : 9.636249
Volume : 888.865452   Box : 9.614913
Volume : 888.376686   Box : 9.613150
Volume : 884.479589   Box : 9.599072
Volume : 877.965363   Box : 9.575449
Volume : 877.374922   Box : 9.573302
Volume : 874.086928   Box : 9.561328
Volume : 875.110155   Box : 9.565057
Volume : 872.973395   Box : 9.557266
Volume : 867.472375   Box : 9.537149
Volume : 864.922020   Box : 9.527793
Volume : 865.847686   Box : 9.531191
Volume : 858.941766   Box : 9.505783
Volume : 856.856671   Box : 9.498085
Volume : 854.883837   Box : 9.490790
Volume : 849.338398   Box : 9.470224
Volume : 844.030512   Box : 9.450455
Volume : 842.735296   Box : 9.445618
Volume : 842.493484   Box : 9.444715
Volume : 838.565842   Box : 9.430015
Volume : 834.488700   Box : 9.414707
Volume : 829.334572   Box : 9.395284
Volume : 830.248781   Box : 9.398735
Volume : 827.657913   Box : 9.388949
Volume : 820.200640   Box : 9.360665
Volume : 816.316701   Box : 9.345866
Volume : 813.636581   Box : 9.335627
Volume : 808.523517   Box : 9.316030
Volume : 806.498900   Box : 9.308248
Volume : 800.528590   Box : 9.285222
Volume : 798.975623   Box : 9.279214
Volume : 798.986626   Box : 9.279256
Volume : 796.157512   Box : 9.268291
Volume : 789.928435   Box : 9.244056
Volume : 787.867887   Box : 9.236012
Volume : 787.043702   Box : 9.232790
Volume : 786.132409   Box : 9.229225
Volume : 782.685798   Box : 9.215717
Volume : 779.989028   Box : 9.205121
Volume : 776.099631   Box : 9.189795
Volume : 775.899763   Box : 9.189006
Volume : 771.843271   Box : 9.172964
Volume : 769.871437   Box : 9.165146
Volume : 768.442054   Box : 9.159471
Volume : 764.324652   Box : 9.143082
Volume : 765.789078   Box : 9.148918
Volume : 760.266410   Box : 9.126871
Volume : 760.484015   Box : 9.127742
Volume : 758.265901   Box : 9.118859
Volume : 752.046649   Box : 9.093860
Volume : 748.237305   Box : 9.078480
Volume : 748.625303   Box : 9.080048
Volume : 747.226302   Box : 9.074389
Volume : 745.220804   Box : 9.066263
Volume : 743.279176   Box : 9.058382
Volume : 741.491580   Box : 9.051115
Volume : 745.128388   Box : 9.065888
Volume : 747.939385   Box : 9.077274
Volume : 739.556410   Box : 9.043234
Volume : 735.643114   Box : 9.027255
Volume : 730.572196   Box : 9.006465
Volume : 729.053511   Box : 9.000220
Volume : 725.631081   Box : 8.986115
Volume : 720.284470   Box : 8.963990
Volume : 718.524534   Box : 8.956683
Volume : 715.128552   Box : 8.942550
Volume : 712.241502   Box : 8.930500
Volume : 709.427092   Box : 8.918721
Volume : 704.664651   Box : 8.898719
Volume : 705.287969   Box : 8.901342
Volume : 701.150125   Box : 8.883900
Volume : 697.570171   Box : 8.868755
Volume : 690.883654   Box : 8.840327
Volume : 684.897394   Box : 8.814720
Volume : 680.767732   Box : 8.796968
Volume : 674.070526   Box : 8.768025
Volume : 668.966813   Box : 8.745840
Volume : 665.050253   Box : 8.728739
Volume : 663.448316   Box : 8.721725
Volume : 657.853902   Box : 8.697140
Volume : 649.975335   Box : 8.662281
Volume : 647.608844   Box : 8.651756
Volume : 645.440602   Box : 8.642090
Volume : 640.639278   Box : 8.620607
Volume : 637.391677   Box : 8.606016
Volume : 631.608878   Box : 8.579910
Volume : 628.919667   Box : 8.567716
Volume : 626.246400   Box : 8.555559
Volume : 621.904812   Box : 8.535743
Volume : 617.602666   Box : 8.516014
Volume : 616.302770   Box : 8.510036
Volume : 612.295324   Box : 8.491550
Volume : 609.897223   Box : 8.480450
Volume : 608.245551   Box : 8.472787
Volume : 603.637140   Box : 8.451335
Volume : 601.410384   Box : 8.440930
Volume : 593.822471   Box : 8.405280
