Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 1.090000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 1000.656481   Box : 10.002188
Volume : 995.317066   Box : 9.984366
Volume : 998.202389   Box : 9.994004
Volume : 995.352191   Box : 9.984483
Volume : 985.940223   Box : 9.952913
Volume : 981.344633   Box : 9.937425
Volume : 977.912830   Box : 9.925827
Volume : 978.466580   Box : 9.927700
Volume : 972.043875   Box : 9.905931
Volume : 969.099190   Box : 9.895918
Volume : 967.872963   Box : 9.891742
Volume : 962.352636   Box : 9.872900
Volume : 957.557431   Box : 9.856475
Volume : 955.866854   Box : 9.850671
Volume : 955.615640   Box : 9.849808
Volume : 951.948320   Box : 9.837191
Volume : 950.661355   Box : 9.832756
Volume : 943.035633   Box : 9.806395
Volume : 939.659291   Box : 9.794677
Volume : 935.991438   Box : 9.781917
Volume : 932.553887   Box : 9.769927
Volume : 924.081239   Box : 9.740249
Volume : 919.478011   Box : 9.724048
Volume : 917.924798   Box : 9.718570
Volume : 916.341456   Box : 9.712979
Volume : 915.976439   Box : 9.711689
Volume : 905.169322   Box : 9.673343
Volume : 896.007403   Box : 9.640596
Volume : 893.695995   Box : 9.632299
Volume : 899.129420   Box : 9.651780
Volume : 890.395601   Box : 9.620427
Volume : 881.545616   Box : 9.588447
Volume : 872.740560   Box : 9.556416
Volume : 865.373875   Box : 9.529452
Volume : 860.868355   Box : 9.512885
Volume : 857.001427   Box : 9.498620
Volume : 855.156901   Box : 9.491801
Volume : 851.205406   Box : 9.477158
Volume : 850.467269   Box : 9.474418
Volume : 845.093461   Box : 9.454420
Volume : 839.007677   Box : 9.431671
Volume : 841.096102   Box : 9.439490
Volume : 833.314160   Box : 9.410288
Volume : 831.205750   Box : 9.402345
Volume : 830.200796   Box : 9.398554
Volume : 821.480506   Box : 9.365531
Volume : 818.426783   Box : 9.353912
Volume : 815.125597   Box : 9.341318
Volume : 812.680101   Box : 9.331967
Volume : 807.740999   Box : 9.313024
Volume : 803.386415   Box : 9.296258
Volume : 802.252282   Box : 9.291881
Volume : 798.359491   Box : 9.276828
Volume : 794.035897   Box : 9.260051
Volume : 790.004371   Box : 9.244353
Volume : 791.433298   Box : 9.249923
Volume : 790.756230   Box : 9.247284
Volume : 787.575862   Box : 9.234870
Volume : 786.215812   Box : 9.229551
Volume : 784.537409   Box : 9.222979
Volume : 779.999565   Box : 9.205162
Volume : 772.470991   Box : 9.175450
Volume : 768.042787   Box : 9.157884
Volume : 765.693659   Box : 9.148538
Volume : 762.125918   Box : 9.134306
Volume : 757.861887   Box : 9.117239
Volume : 756.980168   Box : 9.113702
Volume : 750.666294   Box : 9.088293
Volume : 749.797085   Box : 9.084784
Volume : 747.232292   Box : 9.074413
Volume : 746.523689   Box : 9.071544
Volume : 746.091274   Box : 9.069792
Volume : 738.201071   Box : 9.037706
Volume : 733.310427   Box : 9.017704
Volume : 731.894209   Box : 9.011895
Volume : 730.364638   Box : 9.005612
Volume : 728.019020   Box : 8.995961
Volume : 725.067187   Box : 8.983786
Volume : 721.110716   Box : 8.967416
Volume : 716.781913   Box : 8.949436
Volume : 709.967687   Box : 8.920986
Volume : 707.393150   Box : 8.910190
Volume : 702.908958   Box : 8.891322
Volume : 701.265112   Box : 8.884386
Volume : 701.411977   Box : 8.885006
Volume : 697.715819   Box : 8.869372
Volume : 697.983568   Box : 8.870506
Volume : 696.284082   Box : 8.863301
Volume : 693.758485   Box : 8.852571
Volume : 686.667080   Box : 8.822305
Volume : 683.126653   Box : 8.807117
Volume : 682.490079   Box : 8.804380
Volume : 678.245660   Box : 8.786091
Volume : 675.156154   Box : 8.772730
Volume : 669.364917   Box : 8.747574
Volume : 670.004359   Box : 8.750359
Volume : 662.349535   Box : 8.716907
Volume : 659.934691   Box : 8.706300
Volume : 656.175189   Box : 8.689736
Volume : 657.587716   Box : 8.695967
Volume : 657.667073   Box : 8.696317
Volume : 654.870556   Box : 8.683973
Volume : 654.172908   Box : 8.680889
Volume : 655.481923   Box : 8.686675
Volume : 654.145464   Box : 8.680767
Volume : 654.395736   Box : 8.681874
Volume : 651.768739   Box : 8.670241
Volume : 653.956302   Box : 8.679930
Volume : 647.186968   Box : 8.649877
Volume : 642.841782   Box : 8.630475
Volume : 643.192459   Box : 8.632044
Volume : 640.260926   Box : 8.618910
Volume : 637.972287   Box : 8.608628
Volume : 631.168103   Box : 8.577914
Volume : 621.044382   Box : 8.531804
Volume : 614.919252   Box : 8.503663
Volume : 615.105540   Box : 8.504521
Volume : 610.494922   Box : 8.483219
Volume : 608.694964   Box : 8.474874
Volume : 608.570565   Box : 8.474296
Volume : 605.273912   Box : 8.458967
Volume : 603.852318   Box : 8.452339
Volume : 602.576368   Box : 8.446382
Volume : 596.661789   Box : 8.418656
Volume : 594.339822   Box : 8.407721
Volume : 593.060163   Box : 8.401682
Volume : 591.921107   Box : 8.396300
Volume : 589.317777   Box : 8.383973
Volume : 584.816826   Box : 8.362574
Volume : 583.353849   Box : 8.355595
Volume : 584.949358   Box : 8.363205
Volume : 584.201974   Box : 8.359642
