Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 1.020000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 998.260691   Box : 9.994199
Volume : 996.385666   Box : 9.987938
Volume : 997.742107   Box : 9.992468
Volume : 999.434976   Box : 9.998116
Volume : 997.345972   Box : 9.991145
Volume : 993.699364   Box : 9.978954
Volume : 990.412023   Box : 9.967937
Volume : 987.168336   Box : 9.957044
Volume : 980.687626   Box : 9.935207
Volume : 975.620634   Box : 9.918066
Volume : 969.047137   Box : 9.895741
Volume : 966.168145   Box : 9.885931
Volume : 958.048399   Box : 9.858159
Volume : 949.338801   Box : 9.828195
Volume : 943.516111   Box : 9.808060
Volume : 939.764332   Box : 9.795042
Volume : 939.469310   Box : 9.794017
Volume : 938.851499   Box : 9.791870
Volume : 934.775649   Box : 9.777679
Volume : 932.070130   Box : 9.768237
Volume : 930.134510   Box : 9.761471
Volume : 928.836122   Box : 9.756926
Volume : 928.385758   Box : 9.755349
Volume : 925.863647   Box : 9.746507
Volume : 921.543503   Box : 9.731324
Volume : 917.888919   Box : 9.718443
Volume : 918.225856   Box : 9.719632
Volume : 913.843041   Box : 9.704143
Volume : 911.930143   Box : 9.697368
Volume : 912.125314   Box : 9.698059
Volume : 908.916233   Box : 9.686673
Volume : 903.293026   Box : 9.666655
Volume : 895.163396   Box : 9.637568
Volume : 893.974956   Box : 9.633301
Volume : 894.530456   Box : 9.635296
Volume : 894.282676   Box : 9.634406
Volume : 892.724540   Box : 9.628807
Volume : 889.199388   Box : 9.616117
Volume : 887.210114   Box : 9.608940
Volume : 885.429228   Box : 9.602507
Volume : 877.897631   Box : 9.575202
Volume : 874.910597   Box : 9.564330
Volume : 870.900745   Box : 9.549696
Volume : 868.293142   Box : 9.540156
Volume : 867.052044   Box : 9.535608
Volume : 861.587931   Box : 9.515535
Volume : 856.143238   Box : 9.495448
Volume : 851.732372   Box : 9.479113
Volume : 848.891588   Box : 9.468563
Volume : 846.616375   Box : 9.460096
Volume : 843.591124   Box : 9.448815
Volume : 840.138538   Box : 9.435907
Volume : 835.625140   Box : 9.418979
Volume : 829.845086   Box : 9.397212
Volume : 823.952656   Box : 9.374917
Volume : 820.324915   Box : 9.361138
Volume : 813.309591   Box : 9.334376
Volume : 808.253316   Box : 9.314992
Volume : 812.338117   Box : 9.330658
Volume : 810.928932   Box : 9.325260
Volume : 803.828582   Box : 9.297963
Volume : 804.453226   Box : 9.300371
Volume : 802.497993   Box : 9.292830
Volume : 803.644110   Box : 9.297252
Volume : 796.971750   Box : 9.271450
Volume : 792.468393   Box : 9.253954
Volume : 785.010417   Box : 9.224832
Volume : 785.004204   Box : 9.224808
Volume : 783.189767   Box : 9.217695
Volume : 777.810584   Box : 9.196543
Volume : 773.559966   Box : 9.179760
Volume : 766.424021   Box : 9.151446
Volume : 765.313011   Box : 9.147021
Volume : 759.493957   Box : 9.123779
Volume : 753.690293   Box : 9.100480
Volume : 746.629603   Box : 9.071973
Volume : 741.193379   Box : 9.049901
Volume : 737.410297   Box : 9.034478
Volume : 739.513499   Box : 9.043059
Volume : 737.139986   Box : 9.033374
Volume : 734.557505   Box : 9.022813
Volume : 732.776862   Box : 9.015516
Volume : 733.049068   Box : 9.016632
Volume : 730.025876   Box : 9.004220
Volume : 722.824420   Box : 8.974514
Volume : 722.657300   Box : 8.973822
Volume : 722.011296   Box : 8.971148
Volume : 721.823536   Box : 8.970370
Volume : 718.626351   Box : 8.957106
Volume : 714.694559   Box : 8.940741
Volume : 710.782050   Box : 8.924396
Volume : 707.035600   Box : 8.908688
Volume : 704.812288   Box : 8.899340
Volume : 704.671518   Box : 8.898748
Volume : 702.609613   Box : 8.890060
Volume : 701.523581   Box : 8.885477
Volume : 703.897243   Box : 8.895488
Volume : 702.830625   Box : 8.890992
Volume : 698.107077   Box : 8.871029
Volume : 697.011982   Box : 8.866388
Volume : 694.376837   Box : 8.855201
Volume : 692.398676   Box : 8.846784
Volume : 689.261710   Box : 8.833403
Volume : 688.609357   Box : 8.830615
Volume : 682.368855   Box : 8.803859
Volume : 681.376402   Box : 8.799588
Volume : 675.766413   Box : 8.775372
Volume : 673.513246   Box : 8.765608
Volume : 665.920025   Box : 8.732542
Volume : 663.345183   Box : 8.721273
Volume : 657.926177   Box : 8.697459
Volume : 654.376492   Box : 8.681789
Volume : 649.944670   Box : 8.662145
Volume : 648.468433   Box : 8.655582
Volume : 646.779899   Box : 8.648063
Volume : 648.913533   Box : 8.657562
Volume : 644.588139   Box : 8.638283
Volume : 646.460063   Box : 8.646637
Volume : 640.273028   Box : 8.618964
Volume : 637.653968   Box : 8.607196
Volume : 638.123486   Box : 8.609308
Volume : 632.199460   Box : 8.582584
Volume : 635.666264   Box : 8.598243
Volume : 631.423433   Box : 8.579070
Volume : 628.334035   Box : 8.565056
Volume : 627.566493   Box : 8.561567
Volume : 620.692174   Box : 8.530191
Volume : 615.682159   Box : 8.507178
Volume : 610.092312   Box : 8.481354
Volume : 612.495004   Box : 8.492473
Volume : 609.091081   Box : 8.476712
Volume : 609.917150   Box : 8.480542
