Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 1.070000
Beta                     : 1.000000
Pressure                 : 1.000000


Volume : 998.175431   Box : 9.993914
Volume : 996.208493   Box : 9.987346
Volume : 997.501517   Box : 9.991665
Volume : 999.703642   Box : 9.999012
Volume : 997.322577   Box : 9.991067
Volume : 993.778877   Box : 9.979220
Volume : 989.022359   Box : 9.963273
Volume : 986.070862   Box : 9.953352
Volume : 979.272470   Box : 9.930425
Volume : 973.957095   Box : 9.912426
Volume : 965.814843   Box : 9.884726
Volume : 962.533003   Box : 9.873517
Volume : 954.015229   Box : 9.844306
Volume : 946.016901   Box : 9.816718
Volume : 939.634522   Box : 9.794591
Volume : 935.698833   Box : 9.780897
Volume : 935.152112   Box : 9.778992
Volume : 934.057070   Box : 9.775173
Volume : 929.781424   Box : 9.760235
Volume : 926.943281   Box : 9.750294
Volume : 924.912778   Box : 9.743170
Volume : 923.550744   Box : 9.738385
Volume : 922.063675   Box : 9.733155
Volume : 919.023102   Box : 9.722445
Volume : 913.995676   Box : 9.704684
Volume : 909.686005   Box : 9.689406
Volume : 909.586065   Box : 9.689052
Volume : 905.009647   Box : 9.672775
Volume : 903.002980   Box : 9.665620
Volume : 903.207718   Box : 9.666351
Volume : 898.874743   Box : 9.650868
Volume : 892.975889   Box : 9.629711
Volume : 885.805157   Box : 9.603865
Volume : 884.494507   Box : 9.599126
Volume : 883.408072   Box : 9.595195
Volume : 883.571162   Box : 9.595785
Volume : 881.990483   Box : 9.590059
Volume : 879.143252   Box : 9.579729
Volume : 877.762710   Box : 9.574712
Volume : 874.924628   Box : 9.564381
Volume : 866.739140   Box : 9.534461
Volume : 863.605683   Box : 9.522957
Volume : 862.332850   Box : 9.518276
Volume : 859.597422   Box : 9.508201
Volume : 858.295486   Box : 9.503399
Volume : 852.618695   Box : 9.482400
Volume : 846.694939   Box : 9.460389
Volume : 842.067854   Box : 9.443124
Volume : 839.466294   Box : 9.433389
Volume : 836.929824   Box : 9.423879
Volume : 833.756276   Box : 9.411952
Volume : 830.469164   Box : 9.399567
Volume : 825.023497   Box : 9.378976
Volume : 818.982178   Box : 9.356027
Volume : 812.536540   Box : 9.331418
Volume : 807.574830   Box : 9.312385
Volume : 800.215617   Box : 9.284012
Volume : 794.911486   Box : 9.263453
Volume : 799.196522   Box : 9.280069
Volume : 797.308488   Box : 9.272755
Volume : 790.188348   Box : 9.245070
Volume : 790.843613   Box : 9.247625
Volume : 788.792535   Box : 9.239623
Volume : 789.839920   Box : 9.243711
Volume : 782.840484   Box : 9.216325
Volume : 778.116373   Box : 9.197748
Volume : 770.292811   Box : 9.166818
Volume : 770.286293   Box : 9.166792
Volume : 768.382913   Box : 9.159236
Volume : 763.279883   Box : 9.138914
Volume : 759.612840   Box : 9.124255
Volume : 751.201110   Box : 9.090451
Volume : 750.035638   Box : 9.085747
Volume : 744.256233   Box : 9.062350
Volume : 738.204606   Box : 9.037721
Volume : 730.797805   Box : 9.007392
Volume : 726.400904   Box : 8.989291
Volume : 723.069706   Box : 8.975529
Volume : 724.951727   Box : 8.983310
Volume : 722.139848   Box : 8.971680
Volume : 718.535741   Box : 8.956730
Volume : 716.955574   Box : 8.950159
Volume : 716.634660   Box : 8.948823
Volume : 713.463273   Box : 8.935603
Volume : 705.908803   Box : 8.903953
Volume : 706.530604   Box : 8.906567
Volume : 706.675093   Box : 8.907174
Volume : 706.478129   Box : 8.906346
Volume : 703.770503   Box : 8.894954
Volume : 699.732391   Box : 8.877908
Volume : 695.322117   Box : 8.859217
Volume : 690.899081   Box : 8.840392
Volume : 688.206379   Box : 8.828893
Volume : 688.887767   Box : 8.831805
Volume : 685.933088   Box : 8.819161
Volume : 685.366606   Box : 8.816732
Volume : 686.802317   Box : 8.822884
Volume : 687.332095   Box : 8.825152
Volume : 682.700616   Box : 8.805285
Volume : 681.551839   Box : 8.800344
Volume : 677.372968   Box : 8.782321
Volume : 674.066185   Box : 8.768006
Volume : 670.500295   Box : 8.752518
Volume : 666.098096   Box : 8.733320
Volume : 660.051651   Box : 8.706815
Volume : 658.845784   Box : 8.701509
Volume : 653.560977   Box : 8.678181
Volume : 652.413422   Box : 8.673099
Volume : 645.316903   Box : 8.641537
Volume : 641.207068   Box : 8.623153
Volume : 634.731710   Box : 8.594027
Volume : 630.211178   Box : 8.573577
Volume : 624.888863   Box : 8.549373
Volume : 623.078454   Box : 8.541109
Volume : 621.118495   Box : 8.532144
Volume : 623.356719   Box : 8.542380
Volume : 618.275446   Box : 8.519106
Volume : 620.550916   Box : 8.529544
Volume : 614.193533   Box : 8.500316
Volume : 611.313150   Box : 8.487007
Volume : 611.805683   Box : 8.489286
Volume : 604.959303   Box : 8.457501
Volume : 605.801810   Box : 8.461425
Volume : 601.550133   Box : 8.441584
Volume : 597.721783   Box : 8.423638
Volume : 597.387945   Box : 8.422069
Volume : 589.518028   Box : 8.384922
Volume : 584.842382   Box : 8.362695
Volume : 577.997293   Box : 8.329941
Volume : 580.892596   Box : 8.343827
Volume : 577.487310   Box : 8.327491
Volume : 578.520147   Box : 8.332452
